Date,Company_Name,Campaign_Name,Channel,Region,Country,Impressions,Clicks,CTR (%),Spend ($),CPC ($),Leads,Conversions,Conversion Rate (%),Revenue ($),ROAS,Customer Segment
2024-01-01,ShopNest,Brand Awareness,Google Ads,Middle East,United States,40579,4175,5.09,3822.54,1.55,19,97,5.68,15550.43,2.23,Enterprise
2024-01-02,GrowthSpark Marketing,Brand Awareness,Google Ads,North America,UAE,43056,3021,9.88,4684.07,0.97,180,162,2.07,6295.65,2.42,SMB
2024-01-03,Apex Marketing Group,Brand Awareness,Google Ads,North America,Brazil,34272,2067,7.67,4706.72,0.99,460,173,6.6,11398.76,0.74,Returning Customers
2024-01-04,ShopNest,Email Nurture,LinkedIn,South America,Saudi Arabia,43581,2465,2.86,915.17,1.57,273,9,11.04,19633.42,2.73,Enterprise
2024-01-05,ShopNest,Seasonal Sale,Facebook,South America,China,15671,4640,5.61,4379.98,4.01,123,135,2.06,17973.07,4.88,New Customers
2024-01-06,GrowthSpark Marketing,Email Nurture,Instagram,Asia,Brazil,28048,3146,9.93,3700.29,4.55,303,144,3.49,19058.04,3.66,New Customers
2024-01-07,Apex Marketing Group,Seasonal Sale,Email,South America,Australia,11738,1659,8.65,1301.55,4.88,192,19,2.64,7784.11,7.77,SMB
2024-01-08,Apex Marketing Group,Email Nurture,Instagram,Asia,Brazil,26963,767,1.42,383.06,1.31,61,134,12.06,15759.87,0.92,SMB
2024-01-09,ShopNest,Email Nurture,Instagram,North America,Australia,44954,3611,7.21,1376.59,4.43,203,114,1.41,12435.97,4.94,SMB
2024-01-10,CloudNova,Product Launch,Twitter,Europe,Brazil,7773,1066,3.78,4565.43,1.78,21,139,10.46,1746.43,6.94,Enterprise
2024-01-11,ShopNest,Email Nurture,Facebook,Middle East,UAE,37584,3615,0.57,3184.23,0.74,438,125,5.81,16497.21,4.11,New Customers
2024-01-12,ShopNest,Lead Generation,Twitter,North America,South Africa,30894,4751,4.33,3619.22,4.38,292,61,11.46,13574.32,0.52,Returning Customers
2024-01-13,ShopNest,Product Launch,Facebook,South America,United Kingdom,1717,4520,2.73,1322.9,3.25,410,42,14.48,4058.46,2.32,Enterprise
2024-01-14,ShopNest,Email Nurture,Facebook,Middle East,UAE,12676,2010,8.28,3610.97,0.99,59,13,2.16,1686.8,2.93,SMB
2024-01-15,GrowthSpark Marketing,Brand Awareness,Google Ads,Europe,South Africa,5434,1098,3.7,189.2,2.26,445,140,5.06,16756.74,7.74,New Customers
